Pair Number	Protein	Symbol	Hedgehog Protein	Platypus Protein	Ka/Ks	P-Value
6410	solute carrier family 44 member 4	SLC44A4	ENSEEUP00000013622	ENSOANP00000000973	2.0457400000000003	2.8955100000000007e-05
6469	leucine rich repeat containing 20	LRRC20	ENSEEUP00000001945	ENSOANP00000000680	47.8289	0.000278063
6485	carbohydrate sulfotransferase 11	CHST11	ENSEEUP00000002436	ENSOANP00000007078	4.749219999999998	0.00661378
6560	ER degradation enhancing alpha-mannosidase like protein 2	EDEM2	ENSEEUP00000002118	ENSOANP00000005971	2.41667	1.82608e-07
6758	homeobox C11	HOXC11	ENSEEUP00000010711	ENSOANP00000015115	3.65915	0.00410811
7135	butyrophilin like 9	BTNL9	ENSEEUP00000012551	ENSOANP00000015875	1.4361700000000002	0.00637383
7180	receptor accessory protein 1	REEP1	ENSEEUP00000013126	ENSOANP00000001822	2.27245	0.00753158
7228	eva-1 homolog B	EVA1B	ENSEEUP00000004762	ENSOANP00000020396	36.0105	0.00165958
7322	vomeronasal type-1 receptor 3-like	ORNANAV1R3194	ENSEEUP00000012606	ENSOANP00000020108	1.60001	0.00575117
7412	Ornithorhynchus anatinus vomeronasal 1 receptor ornAnaV1R3194 (ORNANAV1R3194), mRNA.	ORNANAV1R3194	ENSEEUP00000011560	ENSOANP00000020107	1.75515	0.0008338489999999999
7439	tRNA methyltransferase 2 homolog A	TRMT2A	ENSEEUP00000010831	ENSOANP00000006688	1.49952	0.00572073
7456	Ornithorhynchus anatinus vomeronasal 1 receptor ornAnaV1R3017 (ORNANAV1R3017), mRNA.	ORNANAV1R3017	ENSEEUP00000010164	ENSOANP00000005661	1.91034	0.0008308419999999999
7463	Ornithorhynchus anatinus vomeronasal 1 receptor ornAnaV1R3126 (ORNANAV1R3126), mRNA.	ORNANAV1R3126	ENSEEUP00000003245	ENSOANP00000007369	1.87894	0.000959229
7535	translocase of outer mitochondrial membrane 34	TOMM34	ENSEEUP00000003024	ENSOANP00000011721	2.31047	0.00251122
7722	olfactory receptor family 8 subfamily J member 2 (gene/pseudogene)	OR8J2	ENSEEUP00000009622	ENSOANP00000022307	1.89538	0.000237443
7724	NADH dehydrogenase subunit 4L	ND4L	ENSEEUP00000014602	ENSOANP00000024989	9.14923	0.00034779
7754	complement C1q B chain	C1QB	ENSEEUP00000008314	ENSOANP00000024235	2.2694	0.0061217
7807	platelet derived growth factor subunit B	PDGFB	ENSEEUP00000000624	ENSOANP00000011155	4.5285199999999985	1.4651e-05
7888	DEAD-box helicase 47	DDX47	ENSEEUP00000007875	ENSOANP00000007746	4.23061	1.2677100000000001e-14
7910	glycolipid transfer protein domain containing 2	GLTPD2	ENSEEUP00000006763	ENSOANP00000020591	3.09134	3.31495e-08
7983	C-type lectin domain family 1 member A	CLEC1A	ENSEEUP00000005965	ENSOANP00000017105	3.19631	4.1427300000000006e-06
8048	artemin	ARTN	ENSEEUP00000001284	ENSOANP00000022269	9.13118	3.47156e-06
8065	dual specificity phosphatase 3	DUSP3	ENSEEUP00000009654	ENSOANP00000006137	3.62709	6.326720000000001e-07
8077	leucine rich repeat containing 24	LRRC24	ENSEEUP00000005008	ENSOANP00000020729	3.29841	2.7105e-20
8101	sialic acid binding Ig like lectin 1	SIGLEC1	ENSEEUP00000008708	ENSOANP00000026818	1.7109900000000002	6.94633e-18
8116	F-box and leucine rich repeat protein 16	FBXL16	ENSEEUP00000010244	ENSOANP00000014553	2.71507	7.14822e-14
8130	1-acylglycerol-3-phosphate O-acyltransferase 5	AGPAT5	ENSEEUP00000009478	ENSOANP00000010340	1.56484	0.000736345
8135	reticulon 4 receptor	RTN4R	ENSEEUP00000012584	ENSOANP00000009847	9.2708	1.87517e-18
8138	fibroblast growth factor 7	FGF7	ENSEEUP00000008481	ENSOANP00000011802	2.2601400000000003	0.00342582
8154	C-X-C motif chemokine ligand 6	CXCL6	ENSEEUP00000012197	ENSOANP00000011010	2.8122700000000003	0.00125322
8155	NIMA related kinase 7	NEK7	ENSEEUP00000005392	ENSOANP00000012163	8.29012	2.93907e-11
8211	ankyrin repeat domain 16	ANKRD16	ENSEEUP00000002910	ENSOANP00000025031	1.64112	0.00326091
8220	interferon lambda-1-like	IFNL1	ENSEEUP00000002679	ENSOANP00000026530	1.6696799999999998	0.00753599
8251	TNF superfamily member 18	TNFSF18	ENSEEUP00000005675	ENSOANP00000001425	3.2553	3.4731300000000004e-05
8261	cyclin dependent kinase 9	CDK9	ENSEEUP00000012009	ENSOANP00000030879	2.3407	2.6261e-07
8265	FXYD domain containing ion transport regulator 1	FXYD1	ENSEEUP00000005806	ENSOANP00000008752	49.9936	4.64247e-05
