	Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
18	ENSEEUP00000002563.1-ENSOANP00000006914.2	MA	0.0355654	0.057480399999999994	0.618739	0.00706331	8052	683.553	7368.45		291	37.9411	253.05900000000003			0.0374258	1.20387:1.50082:0.844646:1.41168:0.422484:1	0.564221(0.464624:0.375066:0.852972)	-10315.0			
19	ENSEEUP00000010859.1-ENSOANP00000005121.1	MA	0.0822211	0.22615300000000002	0.363563	1.5634e-24	8802	657.1160000000001	8144.88		744	135.11700000000002	608.883			0.0929664	0.918347:1.62707:0.32285:1.21706:0.26214:1	0.621278(0.491535:0.444104:0.928196)	-12777.3			
20	ENSEEUP00000011833.1-ENSOANP00000015869.2	MA	0.246495	0.517009	0.476771	4.77341e-46	13260	914.158	12345.8		2786	374.52	2411.48			0.265144	0.996113:1.49172:0.476542:1.16454:0.641543:1	0.597333(0.544095:0.326952:0.920952)	-23129.8			
21	ENSEEUP00000010582.1-ENSOANP00000018549.1	MA	0.116824	0.23758800000000002	0.491708	4.42297e-19	9924	893.681	9030.32		1130	189.326	940.674			0.127699	0.961696:1.51462:0.225537:1.2818:0.266537:1	0.581876(0.499534:0.360574:0.885521)	-15091.1			
22	ENSEEUP00000008094.1-ENSOANP00000021721.1	MA	0.056312400000000006	0.156694	0.35937800000000003	2.69726e-14	7683	508.315	7174.69		450	74.1046	375.895			0.06295369999999999	0.72438:1.24822:0.561824:1.12127:0.224767:1	0.605991(0.461817:0.434661:0.921494)	-10494.7			
23	ENSEEUP00000008689.1-ENSOANP00000009952.2	MA	0.0704799	0.0867727	0.812236	0.111852	7890	766.702	7123.3		535	62.5998	472.4			0.0720632	1.19388:1.46951:0.875157:1.6955:0.589458:1	0.578762(0.487386:0.363156:0.885744)	-11120.2			
24	ENSEEUP00000006896.1-ENSOANP00000017537.2	MA	0.174699	0.345376	0.505822	4.08416e-28	11331	990.216	10340.8		1827	290.818	1536.18			0.189614	1.36441:1.56891:0.78483:1.44485:0.398774:1	0.532996(0.456239:0.324283:0.818465)	-18624.0			
25	ENSEEUP00000009724.1-ENSOANP00000001316.2	MA	0.07176160000000001	0.194323	0.36929	1.9475099999999998e-16	7965	514.904	7450.1		577	90.9632	486.037			0.0796847	1.52555:1.47076:1.0743:1.41191:0.252822:1	0.638399(0.486425:0.460684:0.968089)	-10996.3			
26	ENSEEUP00000012760.1-ENSOANP00000024385.3	MA	0.0263421	0.053174599999999995	0.49538999999999994	0.000686658	6681	566.872	6114.13		186	29.323	156.67700000000002			0.0286188	1.00014:1.26322:0.678519:1.45644:0.525486:1	0.567757(0.472289:0.347676:0.883305)	-8352.49			
27	ENSEEUP00000001760.1-ENSOANP00000020634.1	MA	0.127679	0.312427	0.408669	1.1980799999999998e-29	10077	712.701	9364.3		1242	194.99	1047.01			0.140746	1.26268:1.19821:0.941779:1.2492:0.559842:1	0.618054(0.507778:0.410941:0.935442)	-15624.9			
28	ENSEEUP00000001623.1-ENSOANP00000018131.2	MA	0.031069799999999998	0.0266949	1.1638899999999999	0.622893	6669	631.18	6037.82		200	16.4831	183.517			0.0306557	1.1932:1.41183:1.03304:1.59527:0.577407:1	0.658248(0.567762:0.450513:0.956468)	-8308.55			
29	ENSEEUP00000001402.1-ENSOANP00000014703.2	MA	0.0490094	0.09058480000000001	0.541033	0.000456611	7065	455.01300000000003	6609.99		347	39.1665	307.83299999999997			0.051687000000000004	1.39572:1.4022:1.05689:1.41311:0.163352:1	0.586944(0.477086:0.362155:0.92159)	-9265.84			
30	ENSEEUP00000013004.1-ENSOANP00000011417.1	MA	0.042167199999999995	0.100267	0.420551	7.315039999999999e-06	6822	366.736	6455.26		294	34.9896	259.01			0.0452905	1.79456:1.90796:1.46688:1.86277:0.663538:1	0.566055(0.47945:0.301468:0.917248)	-8744.65			
31	ENSEEUP00000013076.1-ENSOANP00000009744.1	MA	0.08411289999999999	0.154065	0.545957	1.31925e-07	7701	624.428	7076.57		640	89.0463	550.9540000000001			0.08978489999999999	0.99572:1.39627:0.625711:1.26242:0.609032:1	0.512451(0.432602:0.311515:0.793237)	-11216.8			
32	ENSEEUP00000007770.1-ENSOANP00000017865.2	MA	0.0287654	0.0460348	0.624861	0.0363041	6120	502.691	5617.31		178	22.2988	155.701			0.0301839	0.537279:1.52499:0.458341:1.41453:0.16395:1	0.58323(0.503088:0.326678:0.919926)	-7692.25			
33	ENSEEUP00000005051.1-ENSOANP00000013573.2	MA	0.17277	0.570243	0.302977	1.8148299999999998e-62	9267	502.083	8764.92		1458	231.83	1226.17			0.194305	1.01967:1.02188:0.859588:1.06097:0.36933:1	0.53847(0.402802:0.379741:0.832866)	-15209.9			
34	ENSEEUP00000005616.1-ENSOANP00000019175.1	MA	0.00715097	0.0125299	0.570713	0.12285499999999999	5529	602.196	4926.8		42	7.408410000000001	34.5916			0.00773682	1.05882:7.21806:0.265544:6.04325:2.6486:1	0.601179(0.524441:0.350093:0.929004)	-6399.41			
35	ENSEEUP00000000362.1-ENSOANP00000023676.2	MA	0.084609	0.204421	0.413896	4.16728e-14	7056	488.98	6567.02		597	91.025	505.975			0.09291189999999999	0.999363:1.28155:0.721338:1.27798:0.444063:1	0.552807(0.42959:0.371927:0.856904)	-10304.1			
36	ENSEEUP00000004362.1-ENSOANP00000021837.3	MA	0.0573446	0.12103599999999999	0.473782	1.8956099999999999e-07	6654	546.163	6107.84		392	62.2381	329.76199999999994			0.0625724	1.28629:1.6177:0.864547:1.38797:0.335335:1	0.645807(0.560707:0.415593:0.961123)	-9020.9			
37	ENSEEUP00000012624.1-ENSOANP00000017734.2	MA	0.0296978	0.039905300000000005	0.744206	0.19603299999999999	5868	364.505	5503.5		172	14.0564	157.944			0.0303318	0.282037:1.36263:0.488245:1.138:0.45073:1	0.584343(0.519464:0.310554:0.92301)	-7240.86			
38	ENSEEUP00000012602.1-ENSOANP00000006656.3	MA	0.07911939999999999	0.187554	0.421849	6.1862e-12	6804	475.98199999999997	6328.02		537	81.2608	455.73900000000003			0.08670510000000001	0.783359:1.20308:0.340048:1.4054:0.400813:1	0.61473(0.497386:0.390832:0.955971)	-9734.51			
39	ENSEEUP00000005475.1-ENSOANP00000017451.1	MA	0.054638	0.055585	0.9829620000000001	0.839462	6291	539.493	5751.51		328	28.5732	299.427			0.0547192	0.797578:1.04215:0.491553:1.04883:0.205389:1	0.608498(0.523331:0.404401:0.897762)	-8390.12			
40	ENSEEUP00000013327.1-ENSOANP00000021153.2	MA	0.07774389999999999	0.16522	0.470549	8.81457e-09	6864	470.967	6393.03		529	71.6088	457.39099999999996			0.083746	1.00835:1.02931:0.783656:1.0267:0.253789:1	0.592359(0.485786:0.379633:0.911659)	-9777.45			
41	ENSEEUP00000001865.1-ENSOANP00000002379.3	MA	0.0184219	0.07036139999999999	0.261818	5.7981099999999994e-08	5244	379.106	4864.89		112	25.6893	86.3107			0.0221768	1.89406:2.59215:2.16876:2.22108:0.923697:1	0.642536(0.52385:0.4133:0.99046)	-6415.59			
42	ENSEEUP00000001850.1-ENSOANP00000004570.2	MA	0.139812	0.250755	0.557562	1.08535e-10	8043	612.514	7430.49		1043	134.34	908.66			0.14826	0.937141:1.66552:0.335422:1.37622:0.335389:1	0.543303(0.453722:0.30802:0.868168)	-12550.4			
43	ENSEEUP00000007053.1-ENSOANP00000011565.1	MA	0.1464	0.24183600000000002	0.605368	3.66311e-08	7890	621.297	7268.7		1056	130.655	925.345			0.153915	1.07158:1.76032:0.30676:1.39004:0.299813:1	0.543309(0.453883:0.300543:0.8755)	-12452.8			
44	ENSEEUP00000014271.1-ENSOANP00000008120.3	MA	0.275445	0.518508	0.531226	1.59617e-43	11880	1183.8	10696.2		2776	478.631	2297.37			0.299665	0.941992:1.36935:0.342114:1.26413:0.421578:1	0.654865(0.58273:0.41914:0.962725)	-21535.5			
45	ENSEEUP00000014078.1-ENSOANP00000005790.4	MA	0.0248674	0.0250537	0.992562	0.874101	5391	458.293	4932.71		132	11.2983	120.70200000000001			0.024883199999999998	1.8519:1.94013:1.42202:2.12361:0.279421:1	0.62794(0.510585:0.420363:0.952873)	-6648.45			
46	ENSEEUP00000008395.1-ENSOANP00000003533.1	MA	0.046961800000000005	0.0880714	0.533224	0.0006306630000000001	5760	439.596	5320.4		275	36.895	238.105			0.050099199999999997	1.35361:1.41431:1.04163:1.35331:0.343628:1	0.63475(0.512894:0.432904:0.958453)	-7685.28			
47	ENSEEUP00000012384.1-ENSOANP00000022911.2	MA	0.188749	0.30378099999999997	0.6213310000000001	3.20108e-11	8799	783.967	8015.03		1486	202.114	1283.89			0.198998	1.16338:1.2173:1.01715:1.27188:0.707122:1	0.574056(0.488508:0.382571:0.851089)	-14857.4			
48	ENSEEUP00000002635.1-ENSOANP00000020063.2	MA	0.066317	0.13638699999999998	0.48624300000000004	4.46704e-07	6186	498.70300000000003	5687.3		412	62.9468	349.05300000000005			0.0719659	1.16929:1.28118:0.839241:1.28457:0.313221:1	0.624949(0.511097:0.439992:0.923757)	-8493.88			
49	ENSEEUP00000012443.1-ENSOANP00000008005.3	MA	0.03759559999999999	0.093526	0.40198	1.0873900000000001e-05	5436	347.745	5088.25		213	30.9511	182.049			0.0411735	1.71508:2.09538:1.24721:1.96494:0.644279:1	0.60191(0.505055:0.364468:0.936206)	-6995.16			
50	ENSEEUP00000007461.1-ENSOANP00000014058.2	MA	0.060885400000000006	0.130359	0.46706099999999995	8.332839999999999e-08	6066	527.418	5538.58		380	64.3549	315.645			0.0669259	1.71699:2.14312:1.04233:1.84538:0.528375:1	0.632893(0.557258:0.411026:0.930396)	-8398.13			
51	ENSEEUP00000011157.1-ENSOANP00000004000.3	MA	0.08694810000000001	0.232519	0.37394	1.3183700000000002e-14	6291	380.033	5910.97		537	78.783	458.217			0.0957419	0.838104:0.906594:0.680325:0.962031:0.302027:1	0.621914(0.488527:0.455113:0.922101)	-9151.0			
52	ENSEEUP00000010776.1-ENSOANP00000020467.1	MA	0.150523	0.570072	0.264042	1.0689299999999998e-55	7002	401.523	6600.48		955	178.82299999999998	776.177			0.174582	0.644889:0.634677:0.54921:0.760125:0.317506:1	0.657419(0.481505:0.50021:0.990542)	-11166.2			
53	ENSEEUP00000007002.1-ENSOANP00000012851.1	MA	0.0539264	0.0616649	0.8745069999999999	0.425266	5679	565.987	5113.01		296	33.258	262.742			0.0546976	1.04795:2.03076:0.741075:1.45767:0.6876:1	0.651203(0.56701:0.421944:0.964654)	-7660.02			
54	ENSEEUP00000002435.1-ENSOANP00000001939.2	MA	0.16766099999999998	0.37882899999999997	0.44257700000000005	6.036719999999999e-31	8502	721.677	7780.32		1343	232.7	1110.3			0.185586	1.48061:1.5976:0.935205:1.38446:0.430689:1	0.58514(0.50151:0.364946:0.888965)	-14066.1			
55	ENSEEUP00000012190.1-ENSOANP00000012209.2	MA	0.112604	0.37690500000000005	0.29875999999999997	3.74084e-43	7185	542.345	6642.66		820	175.995	644.005			0.132554	1.47704:1.00166:0.532847:1.16755:0.610538:1	0.671747(0.541754:0.473486:1)	-11013.7			
56	ENSEEUP00000001073.1-ENSOANP00000018986.1	MA	0.026779700000000004	0.052374800000000006	0.511309	0.017280700000000003	5052	310.499	4741.5		138	15.6676	122.33200000000001			0.0283528	1.25426:1.3724:1.07466:1.36174:0.681625:1	0.56029(0.516423:0.290723:0.873724)	-6207.76			
57	ENSEEUP00000013653.1-ENSOANP00000009927.3	MA	0.0245312	0.10259800000000001	0.239101	2.85265e-10	5112	311.268	4800.73		144	30.7188	113.281			0.0292846	1.37983:1.87178:1.07552:1.32505:0.493395:1	0.565286(0.440868:0.32984:0.92515)	-6362.65			
58	ENSEEUP00000008779.1-ENSOANP00000011918.2	MA	0.0213841	0.04682290000000001	0.45670299999999997	0.00467203	5010	287.878	4722.12		111	13.0721	97.9279			0.0228459	2.31796:1.89765:1.24681:1.91928:0.339641:1	0.582185(0.540071:0.280245:0.926238)	-5927.42			
59	ENSEEUP00000010687.1-ENSOANP00000018284.4	MA	0.09964500000000001	0.19748800000000002	0.5045609999999999	7.23087e-09	6504	477.944	6026.06		632	85.8502	546.15			0.10683499999999999	1.5093:1.63497:1.17057:1.59659:0.486124:1	0.566204(0.462153:0.360069:0.876389)	-9691.84			
60	ENSEEUP00000011842.1-ENSOANP00000004398.1	MA	0.0491922	0.105137	0.46788599999999997	1.75173e-05	5487	409.264	5077.74		278	40.852	237.148			0.0533651	1.7589:1.72261:1.32284:1.72731:0.44764:1	0.607161(0.520388:0.346345:0.954749)	-7282.18			
61	ENSEEUP00000010646.1-ENSOANP00000022353.3	MA	0.0736076	0.100212	0.734522	0.0302579	5799	561.784	5237.22		412	52.5004	359.5			0.0761849	1.55307:1.8083:0.960974:1.65138:0.339616:1	0.618153(0.538932:0.377999:0.937528)	-8235.62			
62	ENSEEUP00000006335.1-ENSOANP00000017884.2	MA	0.054378699999999995	0.11053800000000001	0.491946	3.60839e-05	5598	387.037	5210.96		306	40.1394	265.861			0.0582615	1.25905:1.25899:1.11169:1.28675:0.578005:1	0.58793(0.442555:0.43426:0.886976)	-7455.53			
63	ENSEEUP00000005980.1-ENSOANP00000014886.1	MA	0.0336532	0.0625864	0.537709	0.0216344	4929	264.98	4664.02		167	15.9588	151.041			0.035208699999999996	1.15201:1.31119:1.00436:1.30518:0.489758:1	0.611013(0.551531:0.297703:0.983804)	-6095.36			
64	ENSEEUP00000000252.1-ENSOANP00000009307.4	MA	0.0974659	0.122251	0.797258	0.0708142	6150	538.605	5611.39		560	60.1753	499.825			0.0996365	0.51461:1.02895:0.251758:0.999474:0.441433:1	0.637509(0.548408:0.428875:0.935244)	-9031.02			
65	ENSEEUP00000013940.1-ENSOANP00000024423.1	MA	0.150066	0.5956819999999999	0.251924	5.1647999999999985e-90	7428	547.297	6880.7		1142	274.043	867.957			0.182899	1.15127:1.79556:0.370434:0.925746:0.282833:1	0.624031(0.543869:0.392001:0.936223)	-12053.3			
66	ENSEEUP00000001000.1-ENSOANP00000001531.2	MA	0.171264	0.659993	0.259494	4.355139999999999e-94	8691	526.457	8164.54		1425	283.619	1141.38			0.200869	2.21077:1.17186:0.67365:1.13869:0.64851:1	0.627699(0.518459:0.395563:0.969074)	-14269.3			
67	ENSEEUP00000005703.1-ENSOANP00000017850.2	MA	0.139543	0.133804	1.0428899999999999	0.7355550000000001	6600	553.617	6046.38		814	65.69800000000001	748.302			0.139062	0.692464:1.05691:0.488707:1.24782:0.480973:1	0.580431(0.496324:0.319272:0.925697)	-10320.8			
68	ENSEEUP00000006974.1-ENSOANP00000014794.3	MA	0.206938	0.47281599999999996	0.437671	1.1216099999999999e-40	9024	746.465	8277.53		1684	287.7	1396.3			0.22893200000000002	1.33862:1.2842:1.03015:1.33527:0.581176:1	0.615515(0.535083:0.408677:0.902785)	-15304.8			
69	ENSEEUP00000001909.1-ENSOANP00000009940.3	MA	0.0662772	0.0760798	0.8711540000000001	0.415033	5343	447.575	4895.43		335	31.8187	303.181			0.0670983	0.886686:1.40443:0.548203:1.48565:0.293551:1	0.581478(0.450152:0.343623:0.950658)	-7341.44			
70	ENSEEUP00000006910.1-ENSOANP00000017807.2	MA	0.0684245	0.10568	0.647471	0.00476053	5493	468.181	5024.82		367	46.1688	320.83099999999996			0.0715998	0.961687:1.54273:0.324689:1.21266:0.273161:1	0.579427(0.48112:0.359809:0.897352)	-7689.21			
71	ENSEEUP00000001316.1-ENSOANP00000018236.2	MA	0.0661188	0.0917111	0.720946	0.05570459999999999	5253	402.061	4850.94		336	34.6451	301.355			0.0680776	0.791997:0.820363:0.69789:0.88042:0.394229:1	0.568722(0.480176:0.340308:0.885683)	-7292.45			
72	ENSEEUP00000000431.1-ENSOANP00000001123.3	MA	0.0399894	0.158369	0.25250700000000004	3.95754e-14	4884	309.753	4574.25		214	45.2539	168.74599999999998			0.0474973	1.11002:1.3602:0.824836:1.18784:0.355032:1	0.593494(0.495484:0.376568:0.90843)	-6365.43			
73	ENSEEUP00000007776.1-ENSOANP00000002044.3	MA	0.0812206	0.10132000000000001	0.801624	0.126032	5628	538.611	5089.39		435	50.7311	384.269			0.0831442	0.934903:1.48014:0.398475:1.65575:0.396792:1	0.621167(0.52625:0.36825:0.969)	-8026.88			
74	ENSEEUP00000007825.1-ENSOANP00000017265.3	MA	0.194663	0.5713590000000001	0.340702	4.969609999999999e-56	8118	534.9259999999999	7583.07		1434	245.979	1188.02			0.21948499999999999	1.43928:1.75003:0.542507:1.26617:0.477144:1	0.612654(0.56498:0.325562:0.947421)	-13529.3			
75	ENSEEUP00000012889.1-ENSOANP00000001630.1	MA	0.0731319	0.182751	0.40017199999999997	6.00388e-10	5583	340.50199999999995	5242.5		412	57.5322	354.468			0.0798175	2.08747:1.84415:1.29249:1.77543:0.664111:1	0.588091(0.536548:0.32526:0.902465)	-7700.2			
76	ENSEEUP00000000560.1-ENSOANP00000010741.3	MA	0.14810399999999999	0.44365299999999996	0.333828	6.71665e-39	7548	463.655	7084.34		1055	172.93200000000002	882.068			0.166259	1.76206:0.945989:0.396122:1.39661:0.951849:1	0.640445(0.524434:0.3971:0.999801)	-11940.9			
77	ENSEEUP00000012974.1-ENSOANP00000011099.1	MA	0.16714400000000001	0.649879	0.25719200000000003	2.5130699999999996e-79	6981	470.619	6510.38		1107	242.875	864.125			0.19968699999999998	1.07346:1.2061:0.719255:1.0924:0.314957:1	0.573405(0.440579:0.432219:0.847417)	-11578.3			
78	ENSEEUP00000008062.1-ENSOANP00000004495.2	MA	0.08099719999999999	0.155564	0.520667	1.9361900000000003e-06	5544	451.98699999999997	5092.01		445	64.8145	380.186			0.08707639999999998	0.921165:1.72863:0.256114:1.28984:0.40883:1	0.573918(0.471422:0.340939:0.909393)	-7954.95			
79	ENSEEUP00000003702.1-ENSOANP00000001542.2	MA	0.0981901	0.152452	0.644073	0.000223311	5721	555.087	5165.91		539	77.0654	461.935			0.10345499999999999	0.694032:1.16704:0.43144:1.44077:0.590747:1	0.59639(0.472703:0.393253:0.923213)	-8507.29			
80	ENSEEUP00000008981.1-ENSOANP00000014242.2	MA	0.0801127	0.108893	0.735703	0.0458065	5232	475.561	4756.44		400	47.8565	352.144			0.08272869999999999	1.03189:1.85253:0.415911:1.82763:0.429639:1	0.601311(0.516296:0.336524:0.951112)	-7423.27			
81	ENSEEUP00000007180.1-ENSOANP00000008694.2	MA	0.050536300000000006	0.07360950000000001	0.686546	0.082493	4863	322.889	4540.11		241	22.6218	218.378			0.0520683	1.28116:1.50131:0.9634:1.5272:0.435407:1	0.56767(0.467549:0.314642:0.92082)	-6482.78			
82	ENSEEUP00000010080.1-ENSOANP00000017719.2	MA	0.0579451	0.10964000000000002	0.528503	0.00257635	5115	241.785	4873.21		292	25.06	266.94			0.0603887	1.1906:1.29967:1.0897:1.39599:0.858621:1	0.584004(0.503757:0.29066:0.957595)	-6703.66			
83	ENSEEUP00000007316.1-ENSOANP00000010191.2	MA	0.15402000000000002	0.462617	0.332933	1.1292199999999998e-31	6384	372.61800000000005	6011.38		877	137.65200000000002	739.3480000000001			0.172032	0.845158:0.828538:0.702072:0.933738:0.320126:1	0.62141(0.461004:0.468763:0.934463)	-10161.2			
84	ENSEEUP00000008641.1-ENSOANP00000001400.2	MA	0.141775	0.41956499999999997	0.337909	1.24339e-43	7056	578.935	6477.06		982	205.418	776.582			0.16456700000000002	1.70433:1.09895:0.499247:1.15088:0.652849:1	0.655833(0.550577:0.464615:0.952308)	-11194.8			
85	ENSEEUP00000003128.1-ENSOANP00000010873.2	MA	0.112036	0.230479	0.48610200000000003	1.26721e-09	5865	408.07800000000003	5456.92		630	83.9968	546.003			0.120277	0.87685:1.144:0.452611:1.08748:0.327203:1	0.61036(0.490766:0.4:0.940315)	-8849.95			
86	ENSEEUP00000005154.1-ENSOANP00000020955.2	MA	0.101208	0.20180499999999998	0.501513	1.6200699999999998e-09	5970	500.659	5469.34		592	91.3767	500.62300000000005			0.109644	0.938173:1.52891:0.506122:1.26226:0.272527:1	0.549747(0.459378:0.338396:0.851466)	-8919.68			
87	ENSEEUP00000012733.1-ENSOANP00000027680.2	MA	0.07441310000000001	0.10493399999999999	0.7091390000000001	0.0244937	5079	473.36300000000006	4605.64		365	46.2046	318.795			0.0772577	0.628206:1.61959:0.344942:1.44904:0.420616:1	0.634168(0.522331:0.419118:0.961057)	-7183.26			
88	ENSEEUP00000001819.1-ENSOANP00000010815.1	MA	0.0317677	0.0280173	1.13386	0.763347	4374	413.765	3960.23		132	11.137	120.863			0.0314129	0.870401:3.41822:0.428009:2.75329:0.253465:1	0.603313(0.518323:0.33882:0.952795)	-5497.6			
89	ENSEEUP00000003417.1-ENSOANP00000020295.2	MA	0.0609965	0.125478	0.48611400000000005	6.19483e-05	4884	308.142	4575.86		299	36.3804	262.62			0.0650648	1.89104:1.89731:1.50654:1.90475:0.475339:1	0.548483(0.443611:0.307841:0.893998)	-6705.85			
90	ENSEEUP00000008630.1-ENSOANP00000027533.2	MA	0.0650121	0.094015	0.691507	0.0239977	4935	443.279	4491.72		313	39.0908	273.909			0.0676172	0.727046:0.948303:0.410251:1.06492:0.132306:1	0.622068(0.525167:0.418593:0.922445)	-6776.95			
91	ENSEEUP00000012640.1-ENSOANP00000006184.2	MA	0.037619599999999996	0.0776643	0.484388	0.00058091	4461	402.35699999999997	4058.64		172	29.2214	142.779			0.0412314	1.17387:1.33147:1.20704:1.17055:0.754353:1	0.701808(0.652964:0.536633:0.915828)	-5599.63			
92	ENSEEUP00000003173.1-ENSOANP00000020241.3	MA	0.0590164	0.0691179	0.853852	0.41185	4710	367.68800000000005	4342.31		266	23.999000000000002	242.00099999999998			0.059805	1.18058:1.39139:0.833427:1.34663:0.350879:1	0.560463(0.462531:0.32928:0.889578)	-6428.59			
93	ENSEEUP00000000574.1-ENSOANP00000001488.1	MA	0.05018	0.144295	0.34776	1.86026e-09	4635	320.475	4314.53		246	43.2956	202.704			0.0566873	2.48259:1.84116:0.80923:1.59286:0.377224:1	0.608352(0.473744:0.410388:0.940925)	-6229.04			
