	Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
10	ENSEEUP00000011157|ENSEEUG00000012153|ENSEEUT00000012231|protein_coding|NOTCH1|notch-ENSPCAP00000007677|ENSPCAG00000008013|ENSPCAT00000008205|protein_coding|NOTCH1|notch	MA	0.0815763	0.344522	0.236781	7.46616e-35	5406	352.51300000000003	5053.49		466	106.044	359.95599999999996			0.09872239999999999	0.788116:1.2484:0.360429:0.919637:0.231083:1	0.604941(0.485386:0.453236:0.8762)	-7850.98			
11	ENSEEUP00000007164|ENSEEUG00000007641|ENSEEUT00000007866|protein_coding|ATM|ATM-ENSPCAP00000006100|ENSPCAG00000006286|ENSPCAT00000006525|protein_coding|ATM|ATM	MA	0.0813975	0.139098	0.585182	0.000382991	5370	387.07199999999995	4982.93		424	49.6879	374.31199999999995			0.0855566	2.34894:2.85878:1.36071:2.08424:0.568907:1	0.493058(0.413671:0.270238:0.795264)	-7682.51			
12	ENSEEUP00000002635|ENSEEUG00000002829|ENSEEUT00000002877|protein_coding|NCOR1|nuclear-ENSPCAP00000001676|ENSPCAG00000001619|ENSPCAT00000001783|protein_coding|NCOR1|nuclear	MA	0.0379781	0.0799844	0.474818	0.0002939	4572	387.92699999999996	4184.07		180	29.4057	150.594			0.0415423	1.09412:1.15237:0.815347:1.1638:0.101759:1	0.54786(0.448211:0.387789:0.807579)	-5849.14			
13	ENSEEUP00000008779|ENSEEUG00000009530|ENSEEUT00000009633|protein_coding|MYH9|myosin-ENSPCAP00000008645|ENSPCAG00000009072|ENSPCAT00000009262|protein_coding|MYH9|myosin	MA	0.0108759	0.025481200000000002	0.42682299999999995	0.0755335	3903	239.292	3663.71		45	5.9722	39.0278			0.0117714	1.75276:0.99838:0.516489:1.33605:0.231813:1	0.518402(0.48404:0.244636:0.826531)	-4402.58			
14	ENSEEUP00000010935|ENSEEUG00000011872|ENSEEUT00000011989|protein_coding|DOCK8|dedicator-ENSPCAP00000011731|ENSPCAG00000012346|ENSPCAT00000012556|protein_coding|DOCK8|dedicator	MA	0.056732000000000005	0.141656	0.40049	4.16103e-07	4443	307.069	4135.93		262	40.9744	221.02599999999998			0.0626014	1.59641:2.30099:0.708551:1.57814:0.594295:1	0.5405(0.449:0.31625:0.85625)	-6078.78			
15	ENSEEUP00000003487|ENSEEUG00000003770|ENSEEUT00000003824|protein_coding|DCAF1|DDB1-ENSPCAP00000010818|ENSPCAG00000011406|ENSPCAT00000011583|protein_coding|DCAF1|DDB1	MA	0.020779	0.030926299999999997	0.671886	0.280411	3750	288.183	3461.82		79	8.709	70.291			0.0215588	0.825767:1.44743:0.547917:1.18283:0.457122:1	0.597871(0.510989:0.361264:0.92136)	-4578.01			
16	ENSEEUP00000011526|ENSEEUG00000012592|ENSEEUT00000012648|protein_coding|WNK1|WNK-ENSPCAP00000007732|ENSPCAG00000008168|ENSPCAT00000008267|protein_coding|WNK1|WNK	MA	0.0696433	0.192923	0.36099000000000003	3.15064e-14	4650	436.61800000000005	4213.38		346	77.1706	268.829			0.0812188	3.42151:3.42368:2.72775:3.14373:0.723273:1	0.604054(0.508337:0.430603:0.873222)	-6495.27			
17	ENSEEUP00000000651|ENSEEUG00000000735|ENSEEUT00000000735|protein_coding|SETD2|SET-ENSPCAP00000005892|ENSPCAG00000006230|ENSPCAT00000006304|protein_coding|SETD2|SET	MA	0.0948029	0.434205	0.21833699999999998	3.23918e-38	4755	280.808	4474.19		470	104.93799999999999	365.06199999999995			0.114846	1.47147:1.24036:0.723375:1.17069:0.46544:1	0.565232(0.448875:0.380137:0.866683)	-7057.09			
18	ENSEEUP00000010237|ENSEEUG00000011155|ENSEEUT00000011223|protein_coding|SLIT2|slit-ENSPCAP00000012032|ENSPCAG00000012734|ENSPCAT00000012881|protein_coding|SLIT2|slit	MA	0.0148775	0.0391463	0.380048	0.0164151	3303	213.02900000000002	3089.97		53	8.138110000000001	44.8619			0.0164427	1.18587:1.64962:0.825486:1.39976:0.0708649:1	0.546517(0.422396:0.367597:0.849558)	-3966.38			
19	ENSEEUP00000012248|ENSEEUG00000013409|ENSEEUT00000013432|protein_coding|IGF1R|insulin-ENSPCAP00000015555|ENSPCAG00000016571|ENSPCAT00000016617|protein_coding|IGF1R|insulin	MA	0.029815699999999997	0.034864	0.855201	0.552361	3570	243.382	3326.62		104	8.195969999999999	95.804			0.0301598	1.99435:2.13694:1.82773:2.10318:0.796306:1	0.606534(0.481312:0.384821:0.953471)	-4496.95			
20	ENSEEUP00000002302|ENSEEUG00000002485|ENSEEUT00000002517|protein_coding|USP47|ubiquitin-ENSPCAP00000008429|ENSPCAG00000008965|ENSPCAT00000009029|protein_coding|USP47|ubiquitin	MA	0.0157242	0.101729	0.15457	2.28317e-09	3405	175.96099999999998	3229.04		66	17.2032	48.7968			0.0201687	1.6528:1.60534:1.23781:1.28755:0.687009:1	0.574767(0.479442:0.328561:0.9163)	-4096.38			
21	ENSEEUP00000009733|ENSEEUG00000010560|ENSEEUT00000010683|protein_coding|RIMS1|regulating-ENSPCAP00000012242|ENSPCAG00000012978|ENSPCAT00000013102|protein_coding|RIMS1|regulating	MA	0.033842199999999996	0.0859432	0.393775	4.81585e-05	3513	299.233	3213.77		127	24.287	102.713			0.0382801	1.3684:1.24205:0.903634:1.21809:0.370426:1	0.537727(0.422281:0.393026:0.797872)	-4488.46			
22	ENSEEUP00000009751|ENSEEUG00000010655|ENSEEUT00000010704|protein_coding|MED1|mediator-ENSPCAP00000014461|ENSPCAG00000015440|ENSPCAT00000015466|protein_coding|MED1|mediator	MA	0.030347000000000002	0.0805276	0.376852	0.0023696	3315	183.017	3131.98		104	13.9614	90.0386			0.033117400000000005	0.645015:1.43759:1.09834:1.34462:0.586568:1	0.554238(0.405468:0.415679:0.841568)	-4035.99			
23	ENSEEUP00000006884|ENSEEUG00000007476|ENSEEUT00000007556|protein_coding|MAP4K4|mitogen-activated-ENSPCAP00000002183|ENSPCAG00000002276|ENSPCAT00000002321|protein_coding|MAP4K4|mitogen-activated	MA	0.00828623	0.012512200000000001	0.662253	0.346877	2955	225.352	2729.65		25	2.77108	22.2289			0.00860851	1.92215:1.81787:2.12317:2.20031:0.960459:1	0.5836(0.49361:0.363818:0.893371)	-3417.51			
24	ENSEEUP00000000093|ENSEEUG00000000102|ENSEEUT00000000104|protein_coding|LRRK2|leucine-ENSPCAP00000012203|ENSPCAG00000012894|ENSPCAT00000013060|protein_coding|LRRK2|leucine	MA	0.113327	0.189523	0.597958	7.97909e-05	4344	377.75300000000004	3966.25		467	64.1632	402.837			0.119953	1.203:2.0406:0.436898:1.37859:0.48611:1	0.487988(0.429156:0.264537:0.77027)	-6551.66			
25	ENSEEUP00000008906|ENSEEUG00000009672|ENSEEUT00000009770|protein_coding|INO80|INO80-ENSPCAP00000014164|ENSPCAG00000015046|ENSPCAT00000015149|protein_coding|INO80|INO80	MA	0.00947054	0.0412768	0.22944	0.000451846	3009	215.43400000000003	2793.57		34	8.55307	25.4469			0.0117478	1.60181:1.40263:1.8203:1.90665:1.35779:1	0.522747(0.420604:0.327428:0.82021)	-3510.26			
26	ENSEEUP00000008696|ENSEEUG00000009437|ENSEEUT00000009543|protein_coding|CACNA1F|calcium-ENSPCAP00000015172|ENSPCAG00000015968|ENSPCAT00000016211|protein_coding|CACNA1F|calcium	MA	0.0314534	0.07424789999999999	0.42362700000000003	0.000577289	3195	300.578	2894.42		109	21.4596	87.5404			0.0354794	1.16917:1.98264:0.637014:1.60514:0.331076:1	0.521924(0.429119:0.312261:0.824393)	-4088.87			
27	ENSEEUP00000011472|ENSEEUG00000012498|ENSEEUT00000012586|protein_coding|EIF2AK4|eukaryotic-ENSPCAP00000012586|ENSPCAG00000013314|ENSPCAT00000013466|protein_coding|EIF2AK4|eukaryotic	MA	0.0781827	0.181042	0.43184700000000004	1.11218e-06	3582	263.558	3318.44		283	43.961999999999996	239.03799999999998			0.08575089999999999	1.44438:1.53335:1.08156:1.37275:0.281155:1	0.558371(0.486851:0.319436:0.868826)	-5146.06			
28	ENSEEUP00000002542|ENSEEUG00000002764|ENSEEUT00000002777|protein_coding|DLG5|discs-ENSPCAP00000005341|ENSPCAG00000005501|ENSPCAT00000005721|protein_coding|DLG5|discs	MA	0.0856477	0.274161	0.312399	1.19658e-16	3747	277.296	3469.7		335	68.2429	266.757			0.0995987	2.50331:2.01361:1.12611:1.80624:0.692072:1	0.520312(0.429327:0.346689:0.784919)	-5477.81			
29	ENSEEUP00000014343|ENSEEUG00000015687|ENSEEUT00000015709|protein_coding|MYLK|myosin-ENSPCAP00000008723|ENSPCAG00000009226|ENSPCAT00000009348|protein_coding|MYLK|myosin	MA	0.0961268	0.343028	0.28023000000000003	7.292110000000001e-24	3861	290.039	3570.96		391	87.8612	303.139			0.114674	1.84983:1.68487:1.22357:1.45614:0.47942:1	0.552539(0.462309:0.363732:0.831576)	-5791.95			
30	ENSEEUP00000003599|ENSEEUG00000003921|ENSEEUT00000003954|protein_coding|EIF4G1|eukaryotic-ENSPCAP00000013803|ENSPCAG00000014679|ENSPCAT00000014774|protein_coding|EIF4G1|eukaryotic	MA	0.07012589999999999	0.148313	0.47282399999999997	2.49448e-05	3387	297.08	3089.92		241	40.7244	200.27599999999998			0.0769838	0.80795:0.768511:0.613665:0.785419:0.29974:1	0.651288(0.565457:0.450315:0.938091)	-4747.03			
31	ENSEEUP00000002220|ENSEEUG00000002414|ENSEEUT00000002430|protein_coding|FBXO38|F-box-ENSPCAP00000007719|ENSPCAG00000008221|ENSPCAT00000008251|protein_coding|FBXO38|F-box	MA	0.029818	0.09344069999999999	0.31911100000000003	3.75353e-05	2790	195.516	2594.48		91	17.3844	73.6156			0.0342765	1.20552:1.30435:1.10012:1.28742:0.531818:1	0.592148(0.486667:0.376444:0.913333)	-3536.61			
32	ENSEEUP00000013399|ENSEEUG00000014665|ENSEEUT00000014685|protein_coding|SIN3A|SIN3-ENSPCAP00000009290|ENSPCAG00000009934|ENSPCAT00000009952|protein_coding|SIN3A|SIN3	MA	0.0199868	0.047438	0.421325	0.0281697	2721	160.506	2560.49		57	7.382219999999999	49.6178			0.021606099999999996	0.649862:0.772818:0.572042:0.677022:0.264044:1	0.595798(0.516463:0.344309:0.926623)	-3308.28			
33	ENSEEUP00000011156|ENSEEUG00000012181|ENSEEUT00000012230|protein_coding|TNIK|TRAF2-ENSPCAP00000015134|ENSPCAG00000016051|ENSPCAT00000016170|protein_coding|TNIK|TRAF2	MA	0.0181113	0.000362225	50.0	0.0248553	2682	256.309	2425.69		44	0.09278860000000001	43.9072			0.016415	0.149103:1.20504:0.552679:1.75264:0.258855:1	0.53716(0.452539:0.336645:0.822296)	-3177.39			
34	ENSEEUP00000004588|ENSEEUG00000004943|ENSEEUT00000005024|protein_coding|MAPKBP1|mitogen-activated-ENSPCAP00000012518|ENSPCAG00000013275|ENSPCAT00000013397|protein_coding|MAPKBP1|mitogen-activated	MA	0.09099589999999999	0.211601	0.430034	5.20363e-09	3720	318.27099999999996	3401.73		340	60.7548	279.245			0.101315	1.3049:1.24514:0.995404:1.20034:0.407644:1	0.630276(0.521218:0.445585:0.924025)	-5478.29			
35	ENSEEUP00000000949|ENSEEUG00000001047|ENSEEUT00000001060|protein_coding|POLQ|DNA-ENSPCAP00000007069|ENSPCAG00000007383|ENSPCAT00000007553|protein_coding|POLQ|DNA	MA	0.193405	0.7222810000000001	0.26777	5.367089999999999e-67	5466	339.32599999999996	5126.67		1007	199.581	807.419			0.226237	1.76988:1.57618:1.0701:1.35744:0.609149:1	0.527147(0.430697:0.325959:0.824785)	-9271.01			
36	ENSEEUP00000013342|ENSEEUG00000014539|ENSEEUT00000014624|protein_coding|COL3A1|collagen-ENSPCAP00000002432|ENSPCAG00000002407|ENSPCAT00000002577|protein_coding|COL3A1|collagen	MA	0.065305	0.137209	0.47595299999999996	0.000126695	3177	277.22700000000003	2899.77		199	33.2863	165.71400000000003			0.0715794	1.55794:0.825444:0.494866:0.752161:0.109342:1	0.688371(0.622344:0.586361:0.856408)	-4100.63			
37	ENSEEUP00000002574|ENSEEUG00000002774|ENSEEUT00000002812|protein_coding|ROS1|ROS-ENSPCAP00000000812|ENSPCAG00000000734|ENSPCAT00000000859|protein_coding|ROS1|ROS	MA	0.115172	0.283599	0.40610999999999997	8.22294e-12	3759	274.252	3484.75		428	69.4784	358.522			0.127461	1.36707:1.41704:1.10408:1.33757:0.383048:1	0.464477(0.370643:0.289768:0.733021)	-5794.76			
38	ENSEEUP00000006094|ENSEEUG00000006540|ENSEEUT00000006671|protein_coding|CLASP1|cytoplasmic-ENSPCAP00000009116|ENSPCAG00000009609|ENSPCAT00000009770|protein_coding|CLASP1|cytoplasmic	MA	0.027463400000000002	0.05207180000000001	0.527414	0.044853	2838	207.21099999999998	2630.79		81	10.5247	70.4753			0.0292601	3.68378:3.58138:2.8196:3.5728:0.839642:1	0.527387(0.414487:0.362844:0.804829)	-3524.6			
39	ENSEEUP00000011873|ENSEEUG00000012974|ENSEEUT00000013030|protein_coding|MINK1|misshapen-ENSPCAP00000004315|ENSPCAG00000004533|ENSPCAT00000004600|protein_coding|MINK1|misshapen	MA	0.0199518	0.032033400000000004	0.622843	0.264404	2616	189.968	2426.03		53	5.91904	47.081			0.0208291	1.20924:1.9738:1.6301:1.63425:0.608715:1	0.576891(0.500831:0.367415:0.862427)	-3173.99			
40	ENSEEUP00000008433|ENSEEUG00000009224|ENSEEUT00000009249|protein_coding|TAOK1|TAO-ENSPCAP00000006026|ENSPCAG00000006421|ENSPCAT00000006444|protein_coding|TAOK1|TAO	MA	0.00361721	7.81626e-05	46.278	0.651961	2379	170.75400000000002	2208.25		8	0.013344899999999998	7.9866600000000005			0.00336319	12.8261:24.1661:20.5175:25.8206:0.01:1	0.568931(0.486014:0.327672:0.893107)	-2654.05			
41	ENSEEUP00000011884|ENSEEUG00000012984|ENSEEUT00000013042|protein_coding|EGFR|epidermal-ENSPCAP00000005960|ENSPCAG00000006282|ENSPCAT00000006375|protein_coding|EGFR|epidermal	MA	0.0636182	0.184254	0.345275	8.35815e-08	2958	196.305	2761.69		197	33.6323	163.368			0.07162410000000001	1.30647:1.97551:0.826635:1.4256:0.454793:1	0.572787(0.465261:0.366832:0.88627)	-4133.3			
42	ENSEEUP00000003766|ENSEEUG00000004111|ENSEEUT00000004144|protein_coding|THBS4|thrombospondin-ENSPCAP00000005007|ENSPCAG00000005257|ENSPCAT00000005347|protein_coding|THBS4|thrombospondin	MA	0.0509322	0.108556	0.46918000000000004	0.00162376	2769	188.295	2580.7		143	19.2452	123.755			0.054850699999999995	0.730253:0.913032:0.53981:0.979334:0.193417:1	0.644041(0.547668:0.406736:0.97772)	-3703.65			
43	ENSEEUP00000007257|ENSEEUG00000007913|ENSEEUT00000007966|protein_coding|BAG6|BCL2-ENSPCAP00000011902|ENSPCAG00000012622|ENSPCAT00000012741|protein_coding|BAG6|BCL2	MA	0.030625799999999998	0.0664654	0.46077700000000005	0.00313428	2637	301.115	2335.89		88	19.2372	68.7628			0.0347182	2.16304:2.11248:1.61765:1.99141:0.19728:1	0.633478(0.57:0.448696:0.881739)	-3328.83			
44	ENSEEUP00000004246|ENSEEUG00000004592|ENSEEUT00000004664|protein_coding|ZNF335|zinc-ENSPCAP00000007953|ENSPCAG00000008439|ENSPCAT00000008512|protein_coding|ZNF335|zinc	MA	0.0533911	0.11005699999999999	0.485121	0.000717611	2898	273.49	2624.51		159	28.1147	130.885			0.0587388	1.70014:1.71128:1.30339:1.65561:0.186484:1	0.607576(0.527273:0.431818:0.863636)	-3898.67			
45	ENSEEUP00000012719|ENSEEUG00000013927|ENSEEUT00000013949|protein_coding|PPP1R10|protein-ENSPCAP00000015929|ENSPCAG00000017016|ENSPCAT00000017021|protein_coding|PPP1R10|protein	MA	0.0288348	0.08674119999999999	0.332423	3.74418e-05	2643	235.06099999999998	2407.94		86	19.5219	66.4781			0.0339848	2.92365:2.27119:1.29588:2.01358:0.328098:1	0.701745(0.615813:0.499443:0.989978)	-3298.58			
46	ENSEEUP00000005038|ENSEEUG00000005492|ENSEEUT00000005533|protein_coding|NOS2|nitric-ENSPCAP00000000346|ENSPCAG00000000354|ENSPCAT00000000371|protein_coding|NOS2|nitric	MA	0.08392899999999999	0.122627	0.684423	0.053047699999999996	3021	256.163	2764.84		242	28.8536	213.146			0.0872104	0.935967:1.82878:0.547587:1.23301:0.189908:1	0.612754(0.524783:0.375652:0.937826)	-4380.02			
47	ENSEEUP00000009196|ENSEEUG00000010051|ENSEEUT00000010083|protein_coding|EPHB1|EPH-ENSPCAP00000008742|ENSPCAG00000009322|ENSPCAT00000009367|protein_coding|EPHB1|EPH	MA	0.019343400000000004	0.033514800000000004	0.57716	0.173783	2448	203.34599999999998	2244.65		49	6.64763	42.3524			0.0205205	1.74602:2.47447:1.17065:2.46743:0.572875:1	0.600106(0.458686:0.409958:0.931674)	-2975.09			
48	ENSEEUP00000006326|ENSEEUG00000006856|ENSEEUT00000006936|protein_coding|OPA1|OPA1-ENSPCAP00000002391|ENSPCAG00000002432|ENSPCAT00000002534|protein_coding|OPA1|OPA1	MA	0.024397799999999997	0.10291900000000001	0.23705900000000002	2.6766200000000005e-06	2478	168.765	2309.23		71	16.7307	54.2693			0.029745499999999998	1.80833:1.9553:1.47244:1.85285:0.467419:1	0.563932(0.482564:0.306154:0.903077)	-3077.79			
49	ENSEEUP00000007923|ENSEEUG00000008699|ENSEEUT00000008700|protein_coding|BCLAF1|BCL2-ENSPCAP00000011582|ENSPCAG00000012422|ENSPCAT00000012398|protein_coding|BCLAF1|BCL2	MA	0.0141006	0.0179607	0.7850779999999999	0.35277600000000003	2358	137.80100000000002	2220.2		33	2.41779	30.5822			0.0143262	0.820358:0.816257:0.60357:0.899731:0.01:1	0.620403(0.411032:0.483986:0.966192)	-2661.76			
50	ENSEEUP00000007636|ENSEEUG00000008347|ENSEEUT00000008386|protein_coding|PIK3CB|phosphatidylinositol-4,5-bisphosphate-ENSPCAP00000008395|ENSPCAG00000008962|ENSPCAT00000008991|protein_coding|PIK3CB|phosphatidylinositol-4,5-bisphosphate	MA	0.0181291	0.046383600000000004	0.390851	0.0247933	2355	160.248	2194.75		46	7.2405800000000005	38.7594			0.0200517	0.79286:1.71389:0.803787:1.24724:0.548365:1	0.537348(0.457049:0.288982:0.866013)	-2855.29			
51	ENSEEUP00000003408|ENSEEUG00000003708|ENSEEUT00000003739|protein_coding|USP19|ubiquitin-ENSPCAP00000011424|ENSPCAG00000012121|ENSPCAT00000012234|protein_coding|USP19|ubiquitin	MA	0.0358544	0.0726232	0.493705	0.0152343	2619	226.329	2392.67		98	15.7574	82.2426			0.0390319	1.51891:2.06775:1.09832:1.53144:0.307318:1	0.599647(0.525573:0.388448:0.884921)	-3396.39			
52	ENSEEUP00000004324|ENSEEUG00000004718|ENSEEUT00000004746|protein_coding|PTCH2|patched-ENSPCAP00000009937|ENSPCAG00000010524|ENSPCAT00000010650|protein_coding|PTCH2|patched	MA	0.059873800000000005	0.121602	0.49237600000000004	0.000552241	2721	280.118	2440.88		169	31.9444	137.056			0.0662285	0.705953:1.65764:0.12753:0.785353:0.120716:1	0.624661(0.568202:0.406504:0.899277)	-3779.41			
53	ENSEEUP00000003033|ENSEEUG00000003250|ENSEEUT00000003313|protein_coding|C3|complement-ENSPCAP00000013659|ENSPCAG00000014476|ENSPCAT00000014616|protein_coding|C3|complement	MA	0.160978	0.163052	0.987284	0.8721909999999999	3750	355.69800000000004	3394.3		523	50.1856	472.814			0.161175	0.675959:1.42161:0.449927:1.51589:0.310929:1	0.584042(0.510791:0.33257:0.908764)	-5988.03			
54	ENSEEUP00000013095|ENSEEUG00000014269|ENSEEUT00000014351|protein_coding|PLCB1|phospholipase-ENSPCAP00000010598|ENSPCAG00000011203|ENSPCAT00000011349|protein_coding|PLCB1|phospholipase	MA	0.0234406	0.036503	0.642155	0.24173699999999998	2331	148.71	2182.29		55	5.27652	49.7235			0.0242739	1.5668:1.54284:1.60505:1.83774:0.90825:1	0.501096(0.430099:0.27097:0.80222)	-2846.16			
55	ENSEEUP00000008606|ENSEEUG00000009385|ENSEEUT00000009438|protein_coding|PTK2B|protein-ENSPCAP00000000134|ENSPCAG00000000134|ENSPCAT00000000144|protein_coding|PTK2B|protein	MA	0.0297334	0.05949310000000001	0.499779	0.0382038	2337	178.878	2158.12		72	10.2423	61.7577			0.032011200000000004	1.31012:1.96744:1.07992:1.62336:0.244011:1	0.581296(0.503719:0.32678:0.91339)	-2949.75			
56	ENSEEUP00000001914|ENSEEUG00000002085|ENSEEUT00000002100|protein_coding|XDH|xanthine-ENSPCAP00000008725|ENSPCAG00000009218|ENSPCAT00000009350|protein_coding|XDH|xanthine	MA	0.0948847	0.158441	0.598865	0.00320785	2943	260.70099999999996	2682.3		270	37.7011	232.299			0.100515	0.516935:1.01607:0.511399:1.05831:0.288607:1	0.564759(0.458208:0.370482:0.865587)	-4361.99			
57	ENSEEUP00000003551|ENSEEUG00000003871|ENSEEUT00000003897|protein_coding|PUM1|pumilio-ENSPCAP00000001890|ENSPCAG00000001979|ENSPCAT00000002008|protein_coding|PUM1|pumilio	MA	0.013623699999999999	0.0163687	0.832304	0.47258199999999995	2130	194.31599999999997	1935.68		29	3.12129	25.8787			0.013874200000000001	1.13275:0.707895:1.56393:1.6137:1.81533:1	0.533142(0.487725:0.337971:0.773732)	-2525.94			
58	ENSEEUP00000006193|ENSEEUG00000006744|ENSEEUT00000006776|protein_coding|BMPR2|bone-ENSPCAP00000011716|ENSPCAG00000012535|ENSPCAT00000012541|protein_coding|BMPR2|bone	MA	0.021988900000000002	0.168625	0.130401	5.36858e-15	2349	177.46099999999998	2171.54		74	28.509	45.49100000000001			0.0330669	8.81071:7.76966:6.50093:6.74552:1.29064:1	0.598629(0.491034:0.391878:0.912975)	-2951.21			
59	ENSEEUP00000009272|ENSEEUG00000010168|ENSEEUT00000010168|protein_coding|SEMA4C|semaphorin-ENSPCAP00000004383|ENSPCAG00000004677|ENSPCAT00000004674|protein_coding|SEMA4C|semaphorin	MA	0.037695099999999995	0.122427	0.307899	7.135930000000001e-07	2388	228.476	2159.52		105	26.8527	78.1473			0.0458019	2.68747:3.09927:2.23027:2.53965:0.592744:1	0.680695(0.600503:0.441583:1)	-3179.42			
